maker,name,price
デル DELL,DI60-CWL [Inspiron 3910 デスクトップ/Corei5 12400F/メモリ16GB DDR4/GTX 1660 SUPER/SSD 512GB/Windows 11 Home/ブラック],"￥154,800"
マイクロソフト Microsoft,SBF-00009 [Surface Studio 2+（サーフェス スタジオ 2プラス）/28インチ PixelSense/Core i7/メモリ 32GB/SSD 1TB/GeForce RTX 3060 Laptop GPU/Windows 11 Pro/Office Home and Business 2021/プラチナ],"￥719,180"
デル DELL,DX70-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 256GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce GTX 1650 SUPER/ナイトスカイ],"￥199,800"
ミニズフォーラム MINISFORUM,UM690-32/512-W11Pro（6900HX） [小型デスクトップパソコン/Ryzen 9 6900HX/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥137,580"
レノボ･ジャパン Lenovo,90SM0067JP [デスクトップPC/ IdeaCentre 370i/ Core i7/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥164,780"
HP,613V7PA-AAAA [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 7/メモリ 16GB/SSD 512GB＋HDD 2TB/Windows 11 Home/スターリーホワイト],"￥183,700"
HP,52M17PA-AAAQ [デスクトップパソコン/HP Pavilion Desktop TP01-2000 G1モデル/Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ナチュラルシルバー],"￥119,800"
デル DELL,AI567T-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥197,800"
デル DELL,FI577T-CHHBBC [Inspiron 24 5410 フレームレス デスクトップ/一体型デスクトップ/第12世代インテル Core i7-1255U/メモリ16GB/Iris Xe グラフィックス/SSD 512GB/Wi-Fi6E/Windows 11 Home/Office Home&Business 2021/ダークシャドウグレー],"￥189,800"
レノボ･ジャパン Lenovo,90SM0066JP [デスクトップPC/IdeaCentre 370i/ Core i7/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home /グレー],"￥142,780"
デル DELL,SI30-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i3-13100/UHD グラフィックス/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥97,800"
レノボ･ジャパン Lenovo,90SM0062JP [デスクトップPC/ IdeaCentre 370i/ Core i3/HDD 1TB/メモリ 8GB/Windows 11 Home /グレー],"￥95,480"
HP,6K5C3PA-AAAA [デスクトップパソコン HP 24-ck0000 AiO G1モデル/23.8型/Core i5-1235U/メモリ 8GB/SSD 256GB＋HDD 2TB/ Windows 11 Home/スターリーホワイト],"￥144,800"
エイサー Acer,RN96-F58Y [Revo Box/Core i5-1135G7/メモリ 8GB/512GB SSD/Windows 11 Home（64bit）/ブラック],"￥94,800"
HP,52P36PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥104,800"
マウスコンピューター mouse computer,PCMI117P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥184,800"
富士通 FUJITSU,FMVF90H2B [デスクトップパソコン FMV/FHシリーズ/27型WQHD/Core i7-1260P/メモリ 16GB /SSD 512GB ＋ HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥307,780"
エイスース ASUS,PN64-S3301AD [超小型ミニパソコン/Core i3-1220P/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥81,800"
デル DELL,FI779T-CHHBBC [Inspiron 27 7710 フレームレス デスクトップ/一体型デスクトップ/第12世代インテル Core i7-1255U/メモリ16GB/Iris Xe グラフィックス/SSD 512GB+1TB HDD/Wi-Fi6E/Windows 11 Home/Office Home&Business 2021/ダークシャドウグレー],"￥227,550"
